gastos idade tempo expostos sinistros
52902.46 11 8 1280 1272
56593.4 12 8 1321 1266
63673.92 13 8 1229 1440
66534.36 14 8 1269 1224
71012.78 15 8 1170 1267
135391.35 16 8 1247 1606
84945 17 8 1248 1477
208765 18 8 1212 1718
376898.65 19 8 1248 1763
185015.41 20 8 1380 2375
393641.22 21 8 1457 1901
179469.6 22 8 1605 2830
221912.47 23 8 1499 2295
262115.52 24 8 1638 2208
393807.89 25 8 1615 2744
322647.11 26 8 1898 3273
449322.48 27 8 2144 3516
294818.47 28 8 2302 3827
404906.57 29 8 2361 4042
457542.49 30 8 2475 4131
361027.24 31 8 2496 5227
360265.8 32 8 2554 4786
485824.26 33 8 2681 4870
439721.23 34 8 2692 5326
433554.43 35 8 2283 4476
508975.35 36 8 2245 4986
485025.4 37 8 2005 3968
386838.05 38 8 1907 4094
417232.76 39 8 1760 3918
321139.65 40 8 1620 3373
402306.47 41 8 1523 3329
223381.49 42 8 1343 2887
339653.15 43 8 1287 3578
319358.79 44 8 1214 2990
304138.18 45 8 1031 2626
262563.03 46 8 1039 2779
265247.27 47 8 922 2474
147499.64 48 8 936 2382
228706.64 49 8 843 2407
211583.27 50 8 890 2593
307278.73 51 8 857 2651
259936.35 52 8 780 2512
678486.44 53 8 727 2480
323537.89 54 8 675 2817
269695.64 55 8 626 1874
260272.1 56 8 574 2223
277684 57 8 594 2081
337978.84 58 8 548 2185
207007.12 59 8 500 1508
127321.65 60 8 457 1547
259451.4 61 8 383 1331
110826.86 62 8 304 987
182805.44 63 8 299 964
239035.09 64 8 276 1122
142919.82 65 8 196 892
110295.52 66 8 152 725
61690.64 67 8 130 491
172965.21 68 8 116 667
116615.53 69 8 67 473
34250.03 70 8 61 376
67286.29 71 8 38 275
86373.07 72 8 31 114
74948.85 73 8 31 142
33705.11 74 8 11 15
3140.35 75 8 13 51
9798.66 76 8 9 82
20264.13 77 8 5 103
523.56 78 8 6 27
9898.34 79 8 4 38
2413.23 80 8 5 54
173.16 81 8 2 2
0 82 8 3 0
951.04 83 8 6 11
1101.26 84 8 5 50
3731.9 85 8 7 31
81.72 86 8 3 2
457.16 87 8 4 5
0 88 8 0 0
0 89 8 1 0
1920 90 8 2 1
0 91 8 1 0
4569.87 92 8 1 9
0 93 8 1 0
0 94 8 0 0
0 95 8 1 0
0 96 8 0 0
0 97 8 0 0
0 98 8 0 0
0 99 8 0 0
0 100 8 0 0
0 101 8 0 0
0 102 8 0 0
0 103 8 0 0
0 104 8 1 0
0 105 8 0 0
769181.48 1 9 1614 2450
207270.11 2 9 1623 2361
208450.12 3 9 1554 2197
